,date,closing,adjusted,evolution,quantity,volume
211,02/02/2022,349.9,349.9,0.23,63.0,22036.1
212,01/02/2022,349.1,349.1,-0.26,814.0,284178.6
213,31/01/2022,350.0,350.0,0.29,160.0,56000.0
214,28/01/2022,349.0,349.0,-0.26,29.0,10130.0
215,27/01/2022,349.9,349.9,0.4,10.0,3499.0
216,26/01/2022,348.5,348.5,-0.14,27.0,9426.1
217,25/01/2022,349.0,349.0,-0.29,32.0,11168.0
218,24/01/2022,350.0,350.0,0.29,90.0,31500.0
219,21/01/2022,349.0,349.0,0.0,60.0,20940.0
220,20/01/2022,349.0,349.0,-0.29,340.0,118688.0
221,19/01/2022,350.0,350.0,0.07,88.0,30791.1
222,18/01/2022,349.75,349.75,-0.07,131.0,45814.75
223,17/01/2022,350.0,350.0,0.0,0.0,0.0
224,14/01/2022,350.0,350.0,-0.91,94.0,32964.0
225,13/01/2022,353.2,353.2,2.38,111.0,38885.2
226,12/01/2022,345.0,345.0,0.0,0.0,0.0
227,10/01/2022,345.0,345.0,0.0,0.0,0.0
228,07/01/2022,345.0,345.0,0.58,75.0,25853.0
229,06/01/2022,343.0,343.0,0.0,12.0,4116.0
230,05/01/2022,343.0,343.0,0.29,3.0,1029.0
231,04/01/2022,342.0,342.0,-0.29,16.0,5472.0
232,03/01/2022,343.0,343.0,0.0,35.0,12005.0
233,31/12/2021,343.0,343.0,-0.58,35.0,12011.0
234,30/12/2021,345.0,345.0,0.58,31.0,10693.0
235,29/12/2021,343.0,343.0,0.0,28.0,9604.0
236,28/12/2021,343.0,343.0,0.0,15.0,5145.0
237,27/12/2021,343.0,343.0,-0.29,15.0,5145.0
238,24/12/2021,344.0,344.0,0.29,33.0,11352.0
239,23/12/2021,343.0,343.0,-0.29,21.0,7200.0
240,22/12/2021,344.0,344.0,-0.29,20.0,6880.0
241,21/12/2021,345.0,345.0,0.0,0.0,0.0
242,20/12/2021,345.0,345.0,0.44,1.0,345.0
243,17/12/2021,343.5,343.5,0.0,0.0,0.0
244,16/12/2021,343.5,343.5,-0.15,22.0,7560.0
245,15/12/2021,344.0,344.0,-0.29,24668.0,8485824.0
246,14/12/2021,345.0,345.0,0.0,3.0,1035.0
247,13/12/2021,345.0,345.0,0.0,0.0,0.0
248,10/12/2021,345.0,345.0,0.88,10.0,3450.0
249,09/12/2021,342.0,342.0,0.0,0.0,0.0
250,08/12/2021,342.0,342.0,0.0,0.0,0.0
251,07/12/2021,342.0,342.0,0.0,77.0,26234.0
252,06/12/2021,342.0,342.0,-0.29,19.0,6500.0
253,03/12/2021,343.0,343.0,0.0,10.0,3430.0
254,02/12/2021,343.0,343.0,-0.58,42.0,14406.0
255,01/12/2021,345.0,345.0,0.0,0.0,0.0
256,30/11/2021,345.0,345.0,0.06,3.0,1035.0
257,29/11/2021,344.8,344.8,-1.2,43.0,14735.8
258,26/11/2021,349.0,349.0,0.0,5.0,1745.0
259,25/11/2021,349.0,349.0,-0.29,71.0,24739.0
260,24/11/2021,350.0,350.0,0.0,700.0,245000.0
261,23/11/2021,350.0,350.0,0.0,70.0,24450.0
262,22/11/2021,350.0,350.0,0.0,208.0,72800.0
263,19/11/2021,350.0,350.0,0.0,144.0,50400.0
264,17/11/2021,350.0,350.0,-0.82,109.0,38050.0
265,16/11/2021,352.9,352.9,1.41,102.0,35702.9
266,15/11/2021,348.0,348.0,-1.11,33.0,11508.4
267,12/11/2021,351.9,351.9,1.15,105.0,36604.3
268,11/11/2021,347.9,347.9,0.55,7.0,2434.4
269,10/11/2021,346.0,346.0,-0.83,37.0,12786.5
270,09/11/2021,348.9,348.9,1.13,6.0,2093.4
271,08/11/2021,345.0,345.0,-0.29,35.0,12075.0
272,05/11/2021,346.0,346.0,0.0,53.0,18344.7
273,04/11/2021,346.0,346.0,0.0,39.0,13507.0
274,03/11/2021,346.0,346.0,1.17,2.0,692.0
275,02/11/2021,342.0,342.0,-2.01,2.0,684.0
276,01/11/2021,349.0,349.0,0.0,0.0,0.0
277,29/10/2021,349.0,349.0,-0.14,200.0,69789.0
278,28/10/2021,349.5,349.5,4.33,600.0,209700.0
279,27/10/2021,335.0,335.0,-0.3,5.0,1675.0
280,26/10/2021,336.0,336.0,-3.64,1.0,336.0
281,25/10/2021,348.7,348.7,0.0,0.0,0.0
282,22/10/2021,348.7,348.7,-0.23,11.0,3837.5
283,21/10/2021,349.5,349.5,3.1,1220.0,424911.75
284,18/10/2021,339.0,339.0,-0.59,244.0,81591.2
285,15/10/2021,341.0,341.0,0.0,0.0,0.0
286,14/10/2021,341.0,341.0,-0.87,2.0,680.1
287,13/10/2021,344.0,344.0,-1.57,1.0,344.0
288,12/10/2021,349.5,349.5,0.0,0.0,0.0
289,11/10/2021,349.5,349.5,1.3,85.0,29707.5
290,08/10/2021,345.0,345.0,0.0,0.0,0.0
291,07/10/2021,345.0,345.0,-1.29,120.0,40733.0
292,06/10/2021,349.5,349.5,-0.14,3.0,1048.5
293,05/10/2021,350.0,350.0,0.0,52.0,18200.0
294,04/10/2021,350.0,350.0,3.24,14.0,4898.75
295,01/10/2021,339.0,339.0,0.0,0.0,0.0
296,30/09/2021,339.0,339.0,0.0,0.0,0.0
297,29/09/2021,339.0,339.0,3.04,699.0,230350.0
298,28/09/2021,329.0,329.0,0.46,41.0,13489.0
299,27/09/2021,327.5,327.5,-0.76,6.0,1977.5
300,24/09/2021,330.0,330.0,0.0,0.0,0.0
301,23/09/2021,330.0,330.0,-2.94,359.0,118511.5
302,22/09/2021,340.0,340.0,1.49,422.0,142918.0
303,21/09/2021,335.0,335.0,0.0,28.0,9380.0
304,20/09/2021,335.0,335.0,-1.62,1280.0,440064.0
305,17/09/2021,340.5,340.5,3.97,291.0,99022.05
306,16/09/2021,327.5,327.5,3.97,268.0,87438.0
307,15/09/2021,315.0,315.0,0.0,177.0,55709.0
308,14/09/2021,315.0,315.0,0.64,138.0,43470.0
309,13/09/2021,313.0,313.0,0.0,0.0,0.0
310,10/09/2021,313.0,313.0,0.32,44.0,13992.0
311,09/09/2021,312.0,312.0,1.96,124.0,38688.0
312,08/09/2021,306.0,306.0,0.0,0.0,0.0
313,07/09/2021,306.0,306.0,-1.92,28.0,8592.0
314,06/09/2021,312.0,312.0,0.48,12.0,3744.0
315,03/09/2021,310.5,310.5,0.49,1726.0,534488.9
316,02/09/2021,309.0,309.0,0.0,8.0,2472.0
317,01/09/2021,309.0,309.0,0.98,102.0,31514.0
318,31/08/2021,306.0,306.0,0.99,99.0,30284.0
319,30/08/2021,303.0,303.0,0.0,0.0,0.0
320,27/08/2021,303.0,303.0,-0.98,6.0,1818.0
321,26/08/2021,306.0,306.0,2.0,216.0,65632.0
322,25/08/2021,300.0,300.0,3.45,113.0,33170.65
323,24/08/2021,290.0,290.0,0.0,0.0,0.0
324,23/08/2021,290.0,290.0,0.0,0.0,0.0
325,19/08/2021,290.0,290.0,0.0,0.0,0.0
326,18/08/2021,290.0,290.0,0.0,0.0,0.0
327,17/08/2021,290.0,290.0,1.05,37.0,10730.0
328,16/08/2021,287.0,287.0,0.0,0.0,0.0
329,13/08/2021,287.0,287.0,0.31,16.0,4592.0
330,12/08/2021,286.1,286.1,-3.99,1.0,286.1
331,11/08/2021,298.0,298.0,-0.73,37.0,11026.0
332,09/08/2021,300.2,300.2,-0.6,30.0,9006.0
333,06/08/2021,302.0,302.0,0.67,16.0,4842.0
334,05/08/2021,300.0,300.0,0.0,0.0,0.0
335,04/08/2021,300.0,300.0,0.0,50.0,15000.0
336,03/08/2021,300.0,300.0,0.0,874.0,261804.0
337,02/08/2021,300.0,300.0,0.0,0.0,0.0
338,29/07/2021,300.0,300.0,1.01,50.0,14951.0
339,28/07/2021,297.0,297.0,0.0,2.0,594.0
340,27/07/2021,297.0,297.0,0.0,7.0,2079.0
341,26/07/2021,297.0,297.0,0.0,0.0,0.0
342,23/07/2021,297.0,297.0,0.0,10.0,2970.0
343,20/07/2021,297.0,297.0,0.0,0.0,0.0
344,19/07/2021,297.0,297.0,0.0,105.0,30983.0
345,16/07/2021,297.0,297.0,0.17,3.0,891.0
346,15/07/2021,296.5,296.5,0.0,0.0,0.0
347,14/07/2021,296.5,296.5,0.0,0.0,0.0
348,13/07/2021,296.5,296.5,0.53,18.0,5337.0
349,12/07/2021,294.95,294.95,0.0,0.0,0.0
350,09/07/2021,294.95,294.95,0.0,0.0,0.0
351,08/07/2021,294.95,294.95,1.99,2.0,589.9
352,07/07/2021,289.2,289.2,1.99,9.0,2602.8
353,06/07/2021,283.55,283.55,2.0,49.0,13893.95
354,05/07/2021,300.0,300.0,-1.64,653.0,195900.0
355,02/07/2021,305.0,305.0,0.0,10.0,3050.0
356,01/07/2021,305.0,305.0,0.0,100.0,30500.0
357,30/06/2021,305.0,305.0,1.67,30.0,9150.0
358,29/06/2021,300.0,300.0,-1.86,279.0,83700.0
359,28/06/2021,305.7,305.7,-1.99,1.0,305.7
360,25/06/2021,311.9,311.9,0.0,0.0,0.0
361,24/06/2021,311.9,311.9,1.93,2.0,623.8
362,23/06/2021,306.0,306.0,0.0,188.0,57528.0
363,22/06/2021,306.0,306.0,-1.89,112.0,34272.0
364,21/06/2021,311.9,311.9,1.93,1.0,311.9
365,18/06/2021,306.0,306.0,0.0,0.0,0.0
366,17/06/2021,306.0,306.0,0.0,0.0,0.0
367,16/06/2021,306.0,306.0,0.02,22.0,6732.0
368,15/06/2021,305.95,305.95,1.98,18.0,5507.1
369,14/06/2021,300.0,300.0,-1.9,300.0,90000.0
370,11/06/2021,305.8,305.8,-1.99,151.0,46175.8
371,10/06/2021,312.0,312.0,0.0,0.0,0.0
372,09/06/2021,312.0,312.0,1.99,2.0,624.0
373,08/06/2021,305.9,305.9,1.97,2.0,611.8
374,07/06/2021,300.0,300.0,0.0,153.0,45900.0
375,04/06/2021,300.0,300.0,0.0,0.0,0.0
376,03/06/2021,300.0,300.0,0.0,100.0,30000.0
377,02/06/2021,300.0,300.0,0.0,20.0,6000.0
378,01/06/2021,300.0,300.0,0.0,77.0,23100.0
379,31/05/2021,300.0,300.0,0.0,364.0,109200.0
380,28/05/2021,300.0,300.0,0.0,0.0,0.0
381,27/05/2021,300.0,300.0,0.0,0.0,0.0
382,26/05/2021,300.0,300.0,0.0,0.0,0.0
383,25/05/2021,300.0,300.0,0.0,150.0,45000.0
384,24/05/2021,300.0,300.0,0.0,76.0,22800.0
385,21/05/2021,300.0,300.0,0.0,400.0,120000.0
386,20/05/2021,300.0,300.0,0.0,100.0,30000.0
387,19/05/2021,300.0,300.0,0.0,30.0,9000.0
388,18/05/2021,300.0,300.0,0.0,150.0,45000.0
389,17/05/2021,300.0,300.0,0.0,170.0,51000.0
390,12/05/2021,300.0,300.0,0.0,2024.0,607200.0
391,11/05/2021,300.0,300.0,0.0,360.0,108000.0
392,10/05/2021,300.0,300.0,0.0,529.0,158700.0
393,07/05/2021,300.0,300.0,0.0,15335.0,4600500.0
394,06/05/2021,300.0,300.0,0.0,0.0,0.0
395,05/05/2021,300.0,300.0,0.6,152.0,45600.0
396,04/05/2021,298.2,298.2,0.0,0.0,0.0
397,03/05/2021,298.2,298.2,0.68,84.0,25048.8
398,30/04/2021,296.2,296.2,0.0,0.0,0.0
399,29/04/2021,296.2,296.2,0.24,76.0,22511.2
400,28/04/2021,295.5,295.5,1.9,111.0,32800.5
401,27/04/2021,290.0,290.0,-0.17,17.0,4930.0
402,26/04/2021,290.5,290.5,0.0,0.0,0.0
403,23/04/2021,290.5,290.5,-1.66,120.0,34860.0
404,22/04/2021,295.4,295.4,-1.53,30.0,8862.0
405,21/04/2021,300.0,300.0,0.0,0.0,0.0
406,20/04/2021,300.0,300.0,0.0,0.0,0.0
407,19/04/2021,300.0,300.0,0.0,0.0,0.0
408,16/04/2021,300.0,300.0,0.0,0.0,0.0
409,15/04/2021,300.0,300.0,0.0,0.0,0.0
410,14/04/2021,300.0,300.0,0.0,0.0,0.0
411,13/04/2021,300.0,300.0,0.0,0.0,0.0
412,12/04/2021,300.0,300.0,0.5,28.0,8400.0
413,09/04/2021,298.5,298.5,0.0,0.0,0.0
414,08/04/2021,298.5,298.5,1.88,4.0,1194.0
415,07/04/2021,293.0,293.0,0.0,0.0,0.0
