,date,closing,adjusted,evolution,quantity,volume
303,21/09/2021,65.0,48.76,0.0,27.0,1755.0
304,20/09/2021,65.0,48.76,0.0,540.0,35100.0
305,17/09/2021,65.0,48.76,-0.61,200.0,13000.0
306,16/09/2021,65.4,49.06,0.0,0.0,0.0
307,15/09/2021,65.4,49.06,-0.15,100.0,6540.0
308,14/09/2021,65.5,49.13,0.0,140.0,9119.9
309,13/09/2021,65.5,49.13,0.0,100.0,6550.0
310,10/09/2021,65.5,49.13,0.77,212.0,13478.41
311,09/09/2021,65.0,48.76,0.0,241.0,15389.52
312,08/09/2021,65.0,48.76,0.0,0.0,0.0
313,07/09/2021,65.0,48.76,-0.98,10.0,650.0
314,06/09/2021,65.64,49.24,-0.23,129.0,8460.56
315,03/09/2021,65.79,49.35,0.0,0.0,0.0
316,02/09/2021,65.79,49.35,0.02,14.0,888.69
317,01/09/2021,65.78,49.34,0.0,0.0,0.0
318,31/08/2021,65.78,49.34,-0.15,378.0,24839.49
319,30/08/2021,65.88,49.42,1.35,10.0,633.2
320,27/08/2021,65.0,48.76,0.0,2852.0,185072.0
321,26/08/2021,65.0,48.76,0.0,0.0,0.0
322,25/08/2021,65.0,48.76,0.0,0.0,0.0
323,24/08/2021,65.0,48.76,0.15,49.0,3138.0
324,23/08/2021,64.9,48.68,0.39,6668.0,432753.2
325,19/08/2021,64.65,48.49,-0.06,12.0,763.3
326,18/08/2021,64.69,48.52,-0.31,215.0,13628.19
327,17/08/2021,64.89,48.67,2.38,410.0,26604.9
328,16/08/2021,63.38,47.54,-3.97,4680.0,297736.66
329,13/08/2021,66.0,49.51,0.0,0.0,0.0
330,12/08/2021,66.0,49.51,0.0,281.0,18543.0
331,11/08/2021,66.0,49.51,0.0,385.0,25410.0
332,09/08/2021,66.0,49.51,0.93,8849.0,578595.24
333,06/08/2021,65.39,49.05,-0.17,12127.0,788269.86
334,05/08/2021,65.5,49.13,0.0,10.0,655.0
335,04/08/2021,65.5,49.13,0.77,20.0,1310.0
336,03/08/2021,65.0,48.76,0.0,81.0,5265.0
337,02/08/2021,65.0,48.76,0.85,10.0,650.0
338,29/07/2021,64.45,48.34,-0.08,20.0,1289.0
339,28/07/2021,64.5,48.38,0.36,128.0,8238.84
